,author_name,book_average_rating,book_id,book_title,genre_1,genre_2,num_ratings,num_reviews,pages,publish_date,score
0,Jenny  Phillips,4.3,52261,Hans Andersen's Fairy Tales,Fantasy,54,25,84,,400
1,J.R.R. Tolkien,4.26,58189,The Hobbit,Fantasy,Classics,2471588,42006,366,September 21st 1937,28145
2,J.K. Rowling,4.56,181540,Harry Potter and the Sorcerer's Stone,Fantasy,Young Adult,2036961,32557,652,July 16th 2005,672
3,C.S. Lewis,4.21,18695,"The Lion, the Witch and the Wardrobe",Fantasy,Classics,1839095,17934,208,October 16th 1950,4288
4,Shel Silverstein,4.37,2515,The Giving Tree,Childrens,Childrens,801232,15919,64,1964,598270
5,Maurice Sendak,4.22,20628,Where the Wild Things Are,Childrens,Childrens,716983,10578,37,April 19th 1963,285130
6,Roald Dahl,4.3,27972,Matilda,Childrens,Fiction,508838,13336,240,October 1st 1988,6167
7,Eric Carle,4.29,32123,The Very Hungry Caterpillar,Childrens,Childrens,342836,6809,26,1969,11395
8,Robert N. Skir,3.25,251143,X-Men: Morlock Madness (Marvel Comics),Comics,Fantasy,760,106,384,January 1st 2008,570
9,Akira Toriyama,3.96,215463,Dragon Ball (Dragon Ball),Comics,Science Fiction,611,63,370,July 18th 2013,399
